stimulus_id,Happy,Beauty,Calm,Energizing,Angry,Electric/Acoustic,Distorted/Clear,Heavy/Light,Punchy/Smooth,Harmonious/Disharmonious,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
JBT_A2TyPCQ,very,very,very,moderately,not,undefined,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
Or8zUkmZGNc,very,moderately,moderately,very,not,Acoustic,undefined,undefined,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
g0DI5tPiPPM,moderately,very,very,moderately,moderately,Acoustic,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
MUq2VCSi-bs,not,moderately,not,not,moderately,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Kgdwd6Pqip4,very,moderately,moderately,very,moderately,Acoustic,Clear,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
8lAb35KuYVw,moderately,not,very,moderately,moderately,undefined,Distorted,Heavy,undefined,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
khGyyJuLSgU,moderately,very,very,not,not,undefined,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
kb4Ga1tD3nk,not,not,not,very,very,Electric,Distorted,Heavy,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
1y538s1N3To,very,moderately,not,very,not,Acoustic,Clear,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
oWFVKWZxhJU,very,moderately,not,very,moderately,Electric,undefined,undefined,Smooth,Disharmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
n2SA7dZQWyU,very,moderately,very,moderately,not,undefined,Distorted,Light,Smooth,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
87MVxvFBVqo,not,moderately,very,not,not,undefined,undefined,Light,undefined,undefined,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
oS3DzyBVp1s,moderately,very,moderately,moderately,not,undefined,undefined,undefined,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
RBB1cYpAFbc,not,not,moderately,very,moderately,Electric,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
esX6Xb_7WyM,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
c3vselA9ELQ,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
j_4_Bw7FbR4,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
l4ipP3XnpDA,moderately,very,very,not,not,Acoustic,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
MWu6UulTTA4,moderately,moderately,moderately,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
xbTNEkONzCo,not,not,moderately,moderately,very,Acoustic,undefined,undefined,undefined,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
RIotfIo1Blc,very,moderately,very,moderately,not,undefined,undefined,undefined,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
sy-d6oJXqdE,moderately,not,not,very,very,undefined,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Z8klTI0cAiA,not,very,very,not,not,undefined,Distorted,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
THOQ7SmlwJc,very,not,moderately,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
6yR2CgfoRbo,not,moderately,very,not,not,Electric,undefined,Light,Smooth,undefined,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
mPCh3D21qZE,not,moderately,not,moderately,moderately,Acoustic,undefined,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
qLI0PnzmYKA,moderately,not,not,not,moderately,Acoustic,Clear,undefined,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
dItD6LO1ILc,moderately,moderately,not,moderately,not,Acoustic,Clear,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
jg35mmYzh3I,moderately,moderately,moderately,moderately,moderately,undefined,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Mixed
ERWmerxv2N0,very,very,very,not,not,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
aBARjvvUJMc,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
HjFgeL3bdeQ,not,moderately,not,moderately,moderately,undefined,undefined,Heavy,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
76xq8R9cEOI,moderately,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
QWQAG8Zs_no,not,not,moderately,not,moderately,Electric,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
upsuBoJQ6k4,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
9-RTErCdQCY,moderately,moderately,not,moderately,moderately,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
mO1kljD_Aa4,moderately,moderately,moderately,not,not,undefined,Distorted,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
vfWn-Kp9-yA,moderately,not,not,moderately,moderately,Acoustic,Distorted,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
fCeIH4at49g,not,not,moderately,not,not,undefined,Distorted,undefined,undefined,undefined,BOTH children and adults,Feminine,"No, all voices are normal-sounding",Spoken,Mixed
bP5Wlc0Na8w,very,very,very,moderately,not,undefined,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
s8U8-dAaS0Y,not,not,moderately,moderately,not,Acoustic,Clear,Light,Smooth,undefined,Children,Feminine,"No, all voices are normal-sounding",Spoken,Mixed
-NEHGAMiA2I,moderately,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
7bB2elKsUFE,moderately,very,very,not,not,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
SGDKdsICiPE,not,not,not,moderately,very,undefined,Distorted,Heavy,Smooth,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
WYtavoRz-Jc,not,not,not,very,very,Electric,Distorted,Heavy,undefined,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
vB9IIv6xHBI,very,very,moderately,moderately,not,undefined,Clear,undefined,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
s7Bws_0BJxs,very,very,moderately,moderately,very,undefined,Clear,Light,Punchy,Harmonious,Children,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
dp-qHTDVsLc,not,moderately,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
fD6rEoh-tPo,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
_tNKC2D_DK4,very,very,very,moderately,not,Electric,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
wdLUxu_OJh4,not,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
wdLvKel9Cbo,moderately,moderately,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Sung,Mixed
95mk--0FTEw,not,moderately,moderately,moderately,very,Electric,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
8Zc4RGbyQ8g,not,not,moderately,very,very,undefined,undefined,Light,Smooth,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
AYiWOamJVbk,moderately,moderately,very,moderately,moderately,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,There are no actors/presenters or you can never see their faces
86xJR4ep09s,moderately,moderately,not,very,not,Electric,Distorted,undefined,undefined,Disharmonious,BOTH children and adults,BOTH feminine and masculine voices,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
RKhuCkwN-HQ,very,very,not,moderately,moderately,undefined,undefined,undefined,Punchy,Disharmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
6cYp20jojU0,moderately,not,not,not,very,Electric,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
IBDL15WTewc,moderately,moderately,moderately,moderately,moderately,Electric,undefined,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
FYpPMELi0Co,moderately,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
2MFyIarn1mk,not,not,not,very,very,Electric,undefined,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
fg8ZTdpuV0I,very,moderately,not,very,not,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
vFlpklOfoaI,moderately,moderately,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
8m1YNv41CKc,moderately,moderately,moderately,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Q59nlktSIkw,very,very,very,moderately,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
5cthvmrEpJ4,moderately,moderately,moderately,moderately,moderately,undefined,Distorted,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
84Q-XLh3fAY,very,very,moderately,not,not,Acoustic,Clear,Light,Smooth,undefined,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
9IDLZyqx-60,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
90BHH9lni8o,moderately,not,not,moderately,moderately,undefined,Distorted,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Boys/men
4e-j6uyqKxI,very,very,not,not,not,Electric,Clear,Heavy,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
nK6NbqIMsJI,moderately,not,not,not,very,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
5KIK9JG9Ebs,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
__5nKKCvOzk,not,not,not,not,moderately,Electric,undefined,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
d-jNkcovWPc,moderately,not,not,moderately,very,undefined,Distorted,Light,Smooth,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
GvMmTsqExiw,very,very,very,not,not,Acoustic,undefined,undefined,Smooth,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
4ih5OAZKZQA,very,not,moderately,moderately,very,Acoustic,undefined,undefined,undefined,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
4fMS076F8pU,very,very,moderately,not,not,Acoustic,undefined,Light,undefined,Harmonious,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
FILn56RNEyg,moderately,moderately,very,very,moderately,undefined,Distorted,undefined,undefined,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
laOxJUcIOdE,moderately,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
QPABdbp7RFw,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
ZNF7nCHCuEo,very,very,very,not,not,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
hFcYHGRWPCY,very,very,very,very,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Lo_x8RN_x2Y,very,moderately,very,moderately,not,Electric,Clear,undefined,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Sung,Mixed
73s4SGvL1p4,not,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
XcdNtsFiLi4,not,moderately,moderately,not,very,Electric,undefined,undefined,Smooth,undefined,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
w4zL859ehzU,moderately,moderately,moderately,not,moderately,Electric,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
0EnNkBfhfa0,very,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
EJv6cvvJshU,very,moderately,very,very,not,Acoustic,undefined,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
HCTfaQg1fzc,moderately,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
-vSutSWNgLU,moderately,moderately,moderately,very,moderately,Electric,undefined,Heavy,Smooth,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Q1OhEKfG4N0,not,moderately,moderately,not,moderately,undefined,Clear,Light,Smooth,Harmonious,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
bkRGPI3N-7k,very,moderately,moderately,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Uyp8N1f5Hrg,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
D9qcmuxI4EI,moderately,moderately,moderately,very,very,Acoustic,undefined,undefined,undefined,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
6UKj4It_B44,not,not,not,not,very,Electric,Distorted,Heavy,undefined,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
yJ0v0wuokZE,moderately,not,not,not,not,undefined,undefined,undefined,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
z8xZjjBKZI8,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
ffMiaRJmVio,very,not,moderately,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
KUif1Bpvyfk,moderately,moderately,moderately,moderately,very,Electric,Distorted,Heavy,Punchy,undefined,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
2dgTRykXw1E,moderately,not,not,very,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
txLhZT3RoNk,very,very,very,not,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
ET8_Ee5cQk4,not,not,not,moderately,very,Electric,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
Ik1vebgUXxA,very,not,not,moderately,moderately,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
9rz8E3s3CUY,very,very,very,very,moderately,Acoustic,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
KqXriV8Mi3Y,moderately,very,moderately,not,not,Electric,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
XH_NDgm16Ws,not,not,not,moderately,very,Acoustic,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
bKK1XQg2Y9o,moderately,not,moderately,very,moderately,Electric,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Boys/men
aLk1Xh0z7qw,not,not,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
TFHBEkqysRU,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
htMLdB-qYr0,moderately,moderately,very,not,moderately,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
e18J2Z18Na4,moderately,not,not,very,not,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
oBedP34gnXw,moderately,not,moderately,moderately,moderately,undefined,undefined,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
AoEBDS1OdQk,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
M7FLctp7tMk,very,moderately,very,moderately,not,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Girls/women
oXkPfK4qEHQ,very,very,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
s6K40WoEq78,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
Mmr-i3_1sFc,moderately,moderately,not,very,moderately,undefined,Clear,undefined,undefined,Harmonious,Children,Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
tunMW9JZVCc,moderately,moderately,very,not,moderately,Electric,Clear,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
hgORULxqBqU,moderately,moderately,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
pBxyBLjr7sM,moderately,moderately,moderately,not,not,undefined,Clear,undefined,undefined,Harmonious,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
bbbGSR6NAo8,moderately,not,moderately,not,not,Acoustic,Clear,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
LEmyGcnBMms,very,moderately,moderately,not,not,Acoustic,Clear,Light,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
xmZqmEXulA4,moderately,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
jYnVugDxErs,very,very,moderately,moderately,moderately,Electric,undefined,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
mt9b5uwiq-w,not,not,not,not,very,Electric,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
vnkTkVvn4Yc,not,not,not,not,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
a0L1IzEMQ_c,moderately,moderately,very,not,moderately,Electric,undefined,Heavy,Punchy,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,Girls/women
FsItakNM2wI,moderately,not,moderately,very,very,Electric,Distorted,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
wFMPKkDbgIs,not,not,moderately,not,moderately,Electric,undefined,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
6sKnzn9diL8,very,very,moderately,not,not,Acoustic,undefined,Light,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
jBIWrAAq-3Q,not,not,moderately,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
cP642WWyWO8,not,not,not,not,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
t9Cmn8w36LI,very,very,not,not,moderately,Electric,undefined,undefined,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
Jw4UaI4irBA,not,not,not,very,very,undefined,undefined,Heavy,Smooth,undefined,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
dmqgI4JCEuE,not,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
4bLSlZyZRXc,not,moderately,moderately,very,very,undefined,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
OxNe4IUIVk4,moderately,moderately,not,moderately,not,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
NLBZzszOhx0,very,very,very,moderately,not,Acoustic,Clear,undefined,undefined,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
Rohm2GCg74U,not,not,not,not,not,Electric,Distorted,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
lBdS8UiKTGk,moderately,moderately,not,moderately,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
gcDAsT49EbI,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
Ex5ZhANd7z0,very,moderately,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
cyc4PdMrf2k,very,very,not,not,not,undefined,Clear,undefined,undefined,Harmonious,Adults (including young adults),BOTH feminine and masculine voices,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
DX5qdgEvdlc,moderately,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
S2JB2aZDdgg,moderately,moderately,moderately,not,not,Electric,undefined,Light,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
lKvRSLtbfrI,moderately,moderately,very,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
tRJRP6qUWiA,not,not,moderately,moderately,moderately,undefined,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
S8Sob8gzlUg,moderately,moderately,not,very,moderately,Electric,Distorted,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
l0DF8slvlls,very,very,very,not,not,Electric,undefined,Light,Smooth,Disharmonious,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
UZI85fGTuAM,not,moderately,moderately,very,moderately,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
Xxw3AwS7_o8,not,moderately,not,moderately,very,Acoustic,Clear,undefined,Smooth,Harmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
h0TPYyam0-c,moderately,very,very,not,not,Acoustic,undefined,undefined,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
NW9w3nKtjO4,very,very,very,moderately,not,Acoustic,Clear,Light,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
