stimulus_id,Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,Many Instruments/Few Instruments,Wide pitch variation/Narrow pitch variation,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Strong beat/Weak beat,Electric/Acoustic,Distorted/Clear,Loud/Soft,Heavy/Light,High pitch/Low pitch,Punchy/Smooth,Harmonious/Disharmonious,Dense/Sparse,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
Zie8xaLG8_M,high,high,low,low,high,low,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
JUaDM8hQBqw,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Dvcp5sr5AcA,low,low,low,low,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Strong beat,Acoustic,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
IgiFNotHmKg,high,low,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
sv3SUIunbL0,high,high,high,high,high,high,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
ttsmGXduEb0,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
aUOl_DWdEu8,high,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Clear,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
JBT_A2TyPCQ,high,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Soft,Light,Low pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
Or8zUkmZGNc,high,high,high,high,high,low,high,Many Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
g0DI5tPiPPM,low,low,high,high,low,high,high,Many Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Soft,Heavy,Low pitch,Smooth,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
MUq2VCSi-bs,low,high,low,low,low,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Kgdwd6Pqip4,high,high,high,high,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,Mixed
8lAb35KuYVw,low,low,low,high,low,high,high,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
khGyyJuLSgU,low,low,high,high,low,low,low,Many Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
kb4Ga1tD3nk,low,low,low,low,high,high,high,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
1y538s1N3To,high,high,high,low,high,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Soft,Light,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
oWFVKWZxhJU,high,high,high,low,high,high,low,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
n2SA7dZQWyU,high,high,high,high,high,low,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
87MVxvFBVqo,low,high,low,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
oS3DzyBVp1s,low,low,high,low,low,low,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Soft,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
RBB1cYpAFbc,low,low,low,high,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
esX6Xb_7WyM,high,low,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Girls/women
c3vselA9ELQ,low,high,low,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
j_4_Bw7FbR4,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
l4ipP3XnpDA,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
MWu6UulTTA4,high,high,low,low,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
xbTNEkONzCo,low,high,low,low,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Loud,Heavy,High pitch,Smooth,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
RIotfIo1Blc,high,high,high,high,low,low,low,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Clear,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
sy-d6oJXqdE,low,high,low,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
Z8klTI0cAiA,low,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Soft,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
THOQ7SmlwJc,high,high,low,low,high,high,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
6yR2CgfoRbo,low,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
mPCh3D21qZE,low,low,low,low,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Loud,Heavy,High pitch,Smooth,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
qLI0PnzmYKA,high,high,low,low,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
dItD6LO1ILc,low,high,high,low,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
jg35mmYzh3I,high,high,high,high,low,low,high,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Mixed
ERWmerxv2N0,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
aBARjvvUJMc,high,low,high,high,low,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
HjFgeL3bdeQ,low,high,low,low,high,high,low,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
76xq8R9cEOI,low,high,low,low,high,high,high,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
QWQAG8Zs_no,low,low,low,low,low,high,low,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
upsuBoJQ6k4,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Distorted,Soft,Heavy,Low pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
9-RTErCdQCY,high,high,high,low,high,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
mO1kljD_Aa4,low,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
vfWn-Kp9-yA,high,high,low,low,high,low,low,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
fCeIH4at49g,low,high,low,high,low,low,low,Many Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Electric,Distorted,Soft,Light,Low pitch,Smooth,Harmonious,Dense,BOTH children and adults,Feminine,"No, all voices are normal-sounding",Spoken,Mixed
bP5Wlc0Na8w,high,high,high,high,high,low,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
s8U8-dAaS0Y,low,low,low,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Children,Feminine,"No, all voices are normal-sounding",Spoken,Mixed
-NEHGAMiA2I,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
7bB2elKsUFE,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
SGDKdsICiPE,low,low,low,low,low,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Soft,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
WYtavoRz-Jc,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
vB9IIv6xHBI,high,high,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Heavy,High pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
s7Bws_0BJxs,high,high,high,high,low,high,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Clear,Loud,Light,High pitch,Punchy,Harmonious,Sparse,Children,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
dp-qHTDVsLc,low,low,low,low,high,high,high,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
fD6rEoh-tPo,low,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
_tNKC2D_DK4,high,low,high,high,high,low,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
wdLUxu_OJh4,low,low,high,high,low,low,high,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
wdLvKel9Cbo,low,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Children,Feminine,"No, all voices are normal-sounding",Sung,Mixed
95mk--0FTEw,low,low,high,low,low,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
8Zc4RGbyQ8g,low,high,low,low,high,high,high,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
AYiWOamJVbk,low,high,high,high,low,high,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Soft,Light,Low pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,There are no actors/presenters or you can never see their faces
86xJR4ep09s,low,high,high,low,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Smooth,Disharmonious,Dense,BOTH children and adults,BOTH feminine and masculine voices,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
RKhuCkwN-HQ,high,high,high,low,low,high,low,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Loud,Light,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
6cYp20jojU0,low,high,low,low,low,high,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Electric,Clear,Loud,Heavy,Low pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
IBDL15WTewc,high,high,low,high,high,high,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
FYpPMELi0Co,high,low,high,high,low,low,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
2MFyIarn1mk,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
fg8ZTdpuV0I,high,high,low,low,high,low,low,Few Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
vFlpklOfoaI,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
8m1YNv41CKc,low,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Q59nlktSIkw,high,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
5cthvmrEpJ4,low,low,low,high,low,low,high,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Heavy,Low pitch,Smooth,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
84Q-XLh3fAY,high,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
9IDLZyqx-60,low,high,low,low,high,high,high,Few Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
90BHH9lni8o,low,low,low,low,low,low,low,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Boys/men
4e-j6uyqKxI,high,high,high,low,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
nK6NbqIMsJI,low,high,low,low,low,high,low,Few Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
5KIK9JG9Ebs,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
__5nKKCvOzk,low,low,low,low,low,high,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
d-jNkcovWPc,low,high,low,low,low,high,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
GvMmTsqExiw,high,high,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
4ih5OAZKZQA,high,high,low,low,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
4fMS076F8pU,high,low,high,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Dense,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
FILn56RNEyg,high,high,high,high,high,low,high,Many Instruments,Wide pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Heavy,Low pitch,Punchy,Disharmonious,Sparse,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
laOxJUcIOdE,high,high,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
QPABdbp7RFw,high,high,high,high,low,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
ZNF7nCHCuEo,high,low,high,high,low,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Light,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
