stimulus_id,product_category,filming_location,target_of_toy_ad,interaction,voice_type,voice_age,voice_gender,voice_exagg,asian,black,white,other,title,description,upload_date,transcript,domesticity_nurturing_cues,consumerism_cues,fashion_beauty_cues,nature_animals_cues,love_tenderness_cues,magic_fantasy_cues,action_adventure_cues,fight_combat_cues,speed_racing_cues,horror_monsters_cues,science_technology_cues,sports_cues,gross-out_cues,fun_play_cues,arts_crafts_cues
L90gLiPafb4,Dolls,Indoors,Mixed,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys My Moshi Home & Super Moshi HQ Demo,"My Moshi Home - Recreate your monsters online home in your own home. Using the changeable window frames, doors, floors, furniture, decorations and also stickers you can decorate your home.
Super Moshi HQ - Join Elder Furi as he guides the super Moshis to defeat the evil Dr. Strangeglove. Includes an exclusive Elder Furi poseable figure, rotating change chamber, Rox reveal tower and a spinning mission screen.",20120919," The new Moshi HQ! Can you help Elder Fairy and the Super Moshi save Monstro City? What will your mission be today? There are loads of accessories to choose from in my Moshi home, so you can decorate it just the way Pop It likes it!",,accessories,,,,fairy,HQ mission,,,monstro,,,,,decorate
izuCJwPgG-Q,"Arts, Crafts and Musical Instruments",Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,Yes,Yes,No,smART Pixelator - Smyths Toys,"The smART PIXELATOR empowers kids to pixelate any design & build 2D or 3D projects using Bluetooth connectivity, easy-to-follow lights & a variety of creative tools. Encourages creativity and STEM learning. There’s 1,300 Pixel Beads to create 50 step-by-step designs so you can project and create!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/great-value-offers/smart-pixelator/p/177133

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #smARTPixelator #Pixelator",20201202," Light up your creativity with the all-new Smart Pixelator. The smart tablet that uses light technology to teach you to build anything. Pick a design and place your pegs to create animals, mermaids, helicopters and more. Build with pegs, beads or sequins. Then take it to the next level. Light shows you how to build in 3D. Or upload any picture to create your own Smart Pixelator design.",,pegs beads sequins,design,animals,,mermaids,,,,,smart tablet technology helicopters build 3D upload,,,,creativity
27vHKP9QsqU,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Bloopies Mermaid Sweety - Smyths Toys,"Bloopies Mermaids are the best bath time friends for kids! They come in 2 design with pearly and shiny colours, a glittery mermaid tail and a personalised tiara and face decorations. (Each sold separately)

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/dolls/bloopies-mermaid-sweety-assortment/p/170678

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201008," Blue bees, they are now mermaids Look at their tails, colors change in water Now with tattoos and glitter Blue, blue bees",,,glitter,bees tails,,mermaids,,,,,,,,,
GUJ8PfvfQOU,(Group) Games and Puzzles,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,FlipSlide Game- Smyths Toys,"Can you master the moves to beat the blocks? Flip to find the colour and slide to match the lights. FlipSlide is the take anywhere challenge you can't put down! A game for fast minds and slick moves. With four different game modes to choose challenge yourself or challenge your friends in Multi-player mode. You'll be hooked from your first game!

Buy online at https://www.smythstoys.com/uk/en-gb/board-games/flipslide-game/p/159748

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20181011," Can't stop fidgeting? Take it to the next level with Flip Slide! An addictive, fast-paced puzzle game of skill, where you match coloured blocks to the lights. Just flip, slide and match the squares. Challenge yourself or play with friends. The only hard part is putting it down. Flip Slide, out now from Caricat.",,,,,,,,,fast,,,,,puzzle game play challenge,
8D5akawtCjg,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,Spoken,Children,Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Disney Princess Royal Clips - Smyths Toys,"The world of Disney Princess small dolls is getting a stylish upgrade with the Royal Clips dressing system! Made for little hands, these one-clip outfits are designed for quick, seamless wardrobe changes.

You can get yours from Smyths Toys: https://www.smythstoys.com/toys/fashion-and-dolls/disney-princess/disney-princess-royal-clip-small-doll-assortment/p/171052

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #DisneyPrincess #RoyalClips",20190408, Dream big with new Royal Clips! Ready to clip it? Belle sparkles with one clip! While Cinderella gets dressed for the ball! Dress all your Disney princesses with a clip! New Royal Clips! Dress in style with a clip!,,dress,sparkles dressed style,,,dream royal cindarella princesses,,,,,,,,,
EPIML-8H-xY,Toy Vehicles (Powered and Non-Powered),Non-specific,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Disney Cars 3 RC Turbo Racers,"Cars 3 1:24 RC Turbo Racer Lightning McQueen
Get on the Piston Cup Racing circuit and help the legendary Lightning McQueen defeat his new rival Jackson Storm with your very own McQueen race car! This 2 channel radio controlled Lightning McQueen has full movement, a Turbo Speed function so you can blaze past Jackson and is 17cm in length. Go Team McQueen!
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/cars-the-movie/disney-cars-range/cars-3-1-24-rc-turbo-racer-lightning-mcqueen/p/157471
Cars 3 1:24 RC Turbo Racer Jackson Storm
Get on the Piston Cup Racing circuit and help Jackson Storm defeat the legendary Lightning McQueen with your very own Jackson Storm race car! This 2 channel radio controlled Jackson Storm has full movement, a Turbo Speed function so you can blaze past McQueen and is 17cm in length. Go Team Jackson!
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/cars-the-movie/disney-cars-range/cars-3-1-24-rc-turbo-racer-jackson-storm/p/157472
Cars 3 1:24 RC Turbo Racer Cruz Ramierez
Get on the Piston Cup Racing circuit and help the legendary Lightning McQueen get back in the game by showing him how it is done with your very own Cruz Ramierez. This 2 channel radio controlled Cruz has full movement, a Turbo Speed function so you can blaze past McQueen or Jackson and is 17cm in length. Go Team Cruz.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/cars-the-movie/disney-cars-range/cars-3-1-24-rc-turbo-racer-cruz-ramierez/p/157473",20170704," From Disney Pixar's Cars 3, it's time for the big race. Jackson Storm is speeding ahead, but here comes Cruise, hot on his tail. McQueen is pulling out all the stops. Use the turbo speed function to blaze past Jackson and win the race. Cars 3 RC Turbo Racers out now.",,,,,,,,,cars race speeding turbo speed ,,function,,,,
YOaA1JMpq-0,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Children,Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Cabbage Patch Kids Doll Dancer - Smyths Toys,"Take the Oath of Adoption with the world famous 35cm Cabbage Patch Kids.

Buy online at https://www.smythstoys.com/ie/en-ie/toys/fashion-and-dolls/cabbage-patch-kids/cabbage-patch-kids-35cm-doll-dancer/p/190732002

Browse our Cabbage Patch Kids range at https://www.smythstoys.com/ie/en-ie/toys/fashion-and-dolls/cabbage-patch-kids/c/SM06010499

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210318," Dear Chloe Page, I promise to love you with all my heart. I promise to be a good and kind mommy. I promise to care for you, play with you, and imagine with you. I will always remember how special my Cabbage Patch kid is to me.",mommy care ,,,,love all-my-heart,imagine,,,,,,,,play,
42wqjpxHMdA,Plush Toys,Indoors,Mixed,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,Yes,Yes,Yes,No,Smyths Toys - Flip a Zoo,"Flip a Zoo Unicorn/Dragon
Flip a Zoos are 2-in-1 cuddly creatures! Simply grab and flip to change Persephone Unicorn into Imogen Dragon and back - it's so easy to do! Flip a Zoo soft toys are around 40cm long so they're great for big cuddles at home or on the go. With lovely soft plush and lots of detail they're great for boys and girls
Buy online @ http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-18798/flip-a-zoo-unicorn-dragon/

Flip a Zoo Elephant/Tiger
Flip a Zoos are 2-in-1 cuddly creatures! Simply grab and flip to change Emma Elephant to Theodore Tiger and back - it's so easy to do! Flip a Zoo soft toys are around 16in/40cm long so they're great for big cuddles at home or on the go. With lovely soft plush and lots of detail they're great for boys and girls.
Buy online at http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-18799/flip-a-zoo-elephant-tiger/

Flip a Zoo Pink Cat/Mouse
Flip a Zoos are 2-in-1 cuddly creatures! Simply grab and flip to change Caleb Cat to Sawyer Mouse and back - it's so easy to do! Flip a Zoo soft toys are around 16in/40cm long so they're great for big cuddles at home or on the go. With lovely soft plush and lots of detail they're great for boys and girls.
Buy at http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-18800/flip-a-zoo-pink-cat-mouse/

Flip a Zoo Husky/Polar Bear
Flip a Zoos are 2-in-1 cuddly creatures! Simply grab and flip to change Asher Husky to Poppi Polar Bear and back - it's so easy to do! Flip a Zoo soft toys are around 16in/40cm long so they're great for big cuddles at home or on the go. With lovely soft plush and lots of detail they're great for boys and girls.
Buy at http://www.smythstoys.com/uk/en-gb/toys/fashion-dolls/c-512/soft-toys/p-18801/flip-a-zoo-husky-polar-bear/",20161021," Wow! It's Flip-A-Zoo! Just hold them here and flip them there. They'll flip for you and you'll flip for them! Flip-A-Zoo Unicorn here, Flip-A-Zoo Dragon there! Start your own Flip-A-Zoo. You can collect them one by two! It's Flip, Flip-A-Zoo!",,collect,,zoo,,unicorn dragon,,,,,,,,,
3IT9g-IHkcE,High-tech Interactive Playmates and Robotics,BOTH indoors and outdoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,Yes,Yes,No,Smyths Toys -Treasure Detector,"Let’s go on a treasure hunt! One team hides the treasure and the other team has to find it. First, the search team must locate both keys to unlock the treasure. Use the detector to help you! Bars shown on the detector will increase as you get closer, when you’re less than a meter away the detector will start to beep! Don’t stop you’re so close! Clip on the keys to rebuild the detector and now you’re ready to find the treasure! Before the countdown runs out you must take the diamond out of the treasure chest and slot into the detector! Hurry up, the clock is running out!",20160628," Treasure detector! Let's go on a treasure hunt! One team hides the treasure, the other one has to find it! With the detector, you can tell if you're getting closer or not! Wow, you're getting warmer! Keep searching! In the drawer? Not there! Look at the detector, you're burning hot! You found it! Ah!",,,,,,,treasure hunt,,,,,,,team,
5PEpjVowR90,Toy Vehicles (Powered and Non-Powered),Indoors,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,BOTH children and adults,Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Hot Wheels & Nico Rosberg Challenge Accepted! Dual Track Edition - Smyths Toys,"Ignite your challenger spirit and never give up! Watch how Hot Wheels inspired Formula 1 World Champion Nico Rosberg as a young boy. Challenge Accepted!

Visit the Smyths Toys Hot Wheels Shop - http://bit.ly/HotWheelsSmythsToys

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf",20180713," Young Nico thinks that he can beat a Formula One World Champion at this totally awesome Hot Wheels Challenge. Challenge accepted? Yes. Go! Don't forget about your booster! It's looking good over here. I'm going through. Yay! Oh, he's done it again! I'm back in. Quick, quick, quick, quick. First one down there. Come on, go on. Yes! Hello!",,,,,,,,,formula-one wheels booster quick,,,,,,
DPDwNEZJNJY,High-tech Interactive Playmates and Robotics,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Follow Me Peppa Pig - Smyths Toys,"You'll have loads of fun with this cute and interactive Peppa Pig toy, with lots of great sound effects, and 2 play modes!

Choose the ‘Free Play’ mode for silly fun; Press Peppa's nose to hear her snort, wave her arms to make her giggle, twist her waist to make her dance, and jump her up and down to jump in muddy puddles!

Or choose the ‘Follow Me’ mode for clever clogs! Peppa will play a series of sound effects, for you to follow by jumping her up and down, waving her arms, pressing her nose, or twisting her waist, in the same order!

One supplied. For ages 3 years and over.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/pre-school-and-electronic-learning/peppa-pig/follow-me-peppa/p/167794

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/pre-school-and-electronic-learning/peppa-pig/c/SM06010321

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180831," Follow me, Peppa. Peppa snorts and splashes in muddy puddles. Make Peppa giggle and dance. Now let's play follow me. Can you repeat the sequence? Snort, splash. Well done. Follow me, Peppa, from Character.",,,,,,,,,,,,,,giggle,dance
jNW2XxPUDqc,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Yes,No,No,No,Barbie Puppy Party Playset and Doll - Smyths Toys,"Barbie is throwing a birthday party for her little furry friends, and young animal-lovers are all invited! With the Barbie Puppy Party Playset, the puppy dog figurines can wear a festive party hat, and kids can help the Barbie doll make a dough dog-themed cake!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/barbie/barbie-puppy-party-playset-and-doll/p/194083

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210109, Barbie Puppy Party! Woof woof woof! It's not a party without Kay! Confetti surprise! A rainbow! And... Party hat! Woof woof! Who's ready for Kay? Chomp chomp! And presents! Puppy parties are the best parties! Good puppies! Barbie Puppy Party sets each sold separately. You can be anything.,,hat,,puppy woof puppies,,rainbow,,,,,,,,party parties,
YX2Ozh9Msf0,"Action Figures, Battling Toys and Toy Weapons",Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,No,Yes,No,Smyths Toys - Spiderman Creepeez,"The official Spiderman wall crawler is back! With the speed, strength and powers of a spider, throw him against a wall, he will stick and start to crawl! Flick him or fling him, his sticky, icky oozed covered feet stick to almost every surface and will do mind boggling stunts as he tumbles to the floor. Swinging from side to side, Spiderman looks so real and alive! Providing endless entertainment, bring your friendly neighbourhood hero to life! Suitable for ages 4+
Get it now at http://www.smythstoys.com/uk/en-gb/toys/creativity-music-partyware/c-550/pocket-money/p-4533/spiderman-creepeez/",20141124, Woo-hoo! Here's your favorite wall crawler. Official Marvel Ultimate Spider-Man creepies. Spider-Man sticks to the wall and starts to crawl. He pulls awesome stunts as he tumbles to the ground.,,,,,,,spider-man stunts,,,,,,,,
2-m3SEGs0kM,High-tech Interactive Playmates and Robotics,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Yes,No,Yes,No,Smyths Toys - Oddbods Voice Activated Plush Assortment,"Airing on CITV and Boomerang, the Oddbods is a collection of cute 3D animated sketches featuring 7 hilarious characters, each with a personality as distinct as their furry suits! No two characters are alike and when you put them together, be prepared for anything and everything, with consequences as entertaining as they are unpredictable! Enjoy hours of fun and laughter with Voice Activated Walking Fuse and Walking Pogo! Simply press their hand to start the amazing voice activation feature. After you speak, clap or shout watch them walk and talk back in their very own quirky Oddbods language! Or switch off the walking function to listen to all their funny sounds, for even more giggles! Measuring 28cm high and made from super soft plush fabric, both Fuse and Pogo feature a unique facial expression to match their distinctive personality! Each sold separately.

Buy at http://www.smythstoys.com/uk/en-gb/toys/action-figures-playsets/c-323/oddbods/p-19711/oddbods-voice-activated-plush-assortment/

See our full range at http://www.smythstoys.com/uk/en-gb/search/?q=oddballs#1&profile=UK",20160802," Watch out! The Oddbods have been spotted in living rooms across the country causing mischief. Talk to them and they'll react to your voice. Hello! Watch them walk and have fun with your Oddbods. Voice Activated Oddbods, out now. Celebrate the odd in you. Face off with a friend and be feisty like few.",,,,,,,,,,,,,,fun,
9CRrye6_oFo,Toy Vehicles (Powered and Non-Powered),Outdoors,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,No,Yes,No,TerraTrax Drift Cycle - Smyths Toys,"Ride, Drift, Spin & Slide with this all-terrain unique monster RC!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/other-radio-control/terratrax-drift-cycle/p/190094

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200817," Face off against any terrain with the new TerraTRAX RC Drift Cycle! Ride, drift, spin and perform 180 degree drift turns and epic tricks with ease! Conquer off-road conditions like never before and win under any condition! With the new TerraTRAX RC, speed to victory and reach new heights to attack any terrain. TerraTRAX RC Drift Cycle comes with a rechargeable battery and 2.4 GHz controller from Alpha Group.",,,,,,,,,drift cycle ride drift spin speed,,,,,,
2KH0C36fKkk,Toy Vehicles (Powered and Non-Powered),Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,Yes,Yes,No,TOMY Ritzy Rollerz Dance n Dazzle Spa- Smyths Toys,"Get ready for some ""me time"" at the Dance ‘n Dazzle Spa! This is the place for the Ritzy Rollerz to go when they want pampering and spa-day Ritzy Charms! This playset includes 30 Ritzy Charms and Tori Tada. This spa on wheels opens to reveal a ritzy room with lots of places to store and display Ritzy Charms and features lights and music.
Buy online at  https://www.smythstoys.com/uk/en-gb/toys/pre-school-and-electronic-learning/tomy/tomy-ritzy-rollerz-dance-n-dazzle-spa/p/179175
📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20190715," Ritzy Ritzy Rollers Come roll with us in style The fun never stops with Ritzy Rollers Play the music, dance and roll around with your friends A thousand new adventures are waiting for you Customise your Ritzy Rollers with Ritzy Charms And start your journey with Ritzy Rollers",,charms,charms style,,,,,,,,,,,fun,dance
ixaVqD1Yzls,"Action Figures, Battling Toys and Toy Weapons",Indoors,Boys/men,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,Yes,No,No,Transformers: Bumblebee - Power Charge Bumblebee - Smyths Toys,"Get ready to transform yourself with Bumblebee from Transformers! Within each Transformers robot rests a powerful core made of Energon. Without this core, charging up all that battling, racing, and (when it comes to Bumblebee) singing wouldn’t be possible. Even the most tubular Autobots get their circuits warped sometimes. Help a bot out by getting his Power Charge core spinning! While in robot mode, spin the core in Bumblebee figure’s chest to amp up lights and phrases. Then, lower the battle mask and reveal his signature Stinger Sword to get this courageous bot ready for battle against the Decepticons.

Convert to VW Beetle mode in 17 steps and rev the car to hear sound effects. Keep the Power Charge core revved up or Bumblebee will lose his charge and power down. Bumblebee flips through radio stations picking up new Earth lingo. Imagine him using radio sound clips to talk to his friends, like he does in Transformers: Bumblebee!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/transformers/transformers-bumblebee-power-charge-bumblebee/p/167908

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180925, Hey parents! Check out this fun toy from Hasbro! I got one inch. Aaaaaaah!,,,,,,,,,,,,,,,
qymG5taSseY,"Arts, Crafts and Musical Instruments",Indoors,Girls/women,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,Play-Doh Builder Treehouse Toy Building Kit - Smyths Toys,"Build in 3D with Play-Doh Builder! It's easy and fun to create a colourful Play-Doh treehouse with this creative Play-Doh building kit!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/dough-and-clay/play-doh/play-doh-builder-treehouse-toy-building-kit/p/189828

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/creativity-music-and-partyware/dough-and-clay/play-doh/c/SM0601050601

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #PlayDoh",20201007," The excitement builds when you build a 3D Play-Doh treehouse. You can roll it, decorate it just how you want, fold up the walls, put on the roof and see it all come together. The new Play-Doh Builder Treehouse.",,,,treehouse,,,,,,,,,,,
WiZbb-QOStc,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Isabelle's Doll House - Smyths Toys,"Isabelle's Doll House makes a beautiful home for your dolls. This incredibly detailed wooden doll house stands 123cm tall, with luxurious touches inside and out.

Shop here: https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/doll-houses/isabelle-s-doll-house/p/145509

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #WoodenDollHouse #DollHouse",20210827, Isabelle's Dollhouse is no ordinary dollhouse. It's a doll home. One you can fill with imagination. Drop in for dinner and explore beautiful rooms where dolls can relax. Isabelle's Dollhouse.,,,,,,imagination,,,,,,,,,
Lnbrdx2iNZQ,Collectibles (Toys and Trading Cards),Outdoors,Boys/men,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,No,Yes,No,Smashers Series 3 Dino - Smyths Toys,"It's time to go back to the land before time… with Smashers Series 3 DINO! Smash open the NEW Smash Egg to find what's crawling inside! Will you find the Dig n' Find Rare Dino Fossils? With the new Dig n' Find Surprise Fossil inside every 20-pack, the smashing will never end! Smash your Smashers on the ground, to the wall or anywhere you can think and start building your Smashers collection today!

Keep track of your entire roar-some collection with our free Collector's Guide inside every pack or download the Smashers app! The Smashers app allows you to interact with your collection and earn Smash Points to become the ultimate Smashers champion! Explore the Jurassic world of the wackiest Dinosaurs you'll ever meet.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/smashers/smashers-dino-20-pack/p/170552
📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20190308," Smashers! Watch out! New Dino Smashers are on the loose with the new Dino Smash Egg. Smash it! Because you never know what dinos are hidden inside. Dino might! Dig and find super rare dino fossils. Meet the hungriest dino in ages, the Smash Rex. Crunch, smash, and out your Smashers. Then, rebuild and re-smash. There's a whole dino world you can collect. Smashers! Dino Smashers are now each sold separately,",,,,,,,,smasher smash crunch,,dino,,,,,
qqV8wfRzDrA,Outdoor and Sports,BOTH indoors and outdoors,Mixed,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Little Live Pet Turtle Tank,"The Little Live Pet Turtle Tank is your take anywhere turtle home that allows your pet to walk around and then dive into the water for a swim! Watch Shine the Crystal Turtle move just like a real turtle. The Turtle Tank comes with the exclusive wild animal print turtle! It’s the Little Live Pet that loves to be wet! Shine the Crystal Turtle sparkles in the ocean as she paddles about looking for sunken treasure. She uses her flippers to walk on land but as soon as she hits the water she paddles about like a real ocean loving sea turtle! She is one Little Live Pet who loves to get wet!
Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/little-live-pets/little-live-pet-turtle-tank/p/152725
Browse our Little Live Pets range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/little-live-pets/c/SM06010453",20170705, Little Life Pets! Little Turtles! Meet your new pet friends who are making a splash! The super cute little turtles love to glide through water and walk on land! These little turtles love to explore and to swim and play in their very own tank! From land to water and back once more! Little Turtles! From kite to...,,,,pets pet turtles,cute  ,,,,,,,,,play,
MbDAn99yLwA,(Group) Games and Puzzles,Indoors,Mixed,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Tomy Pop-Up Pirate Game Video,"Tomy Pop-Up Pirate is guaranteed to your little ones hours of fun! Take turns to slide your swords into the barrel, but be careful as one wrong move will send Jolly Roger flying!

http://www.smythstoys.com/uk/en-gb/toys/games-puzzles-books/c-564/childrens-board-games/p-3530/tomy-pop-up-pirate-game/",20160318," Pop-up pirate is barrels of unpredictable fun. To start push the pirate in the barrel until he locks into position. Then take turns putting swords in the barrel. But beware, slide your sword in the wrong slot and up pops the pirate. Which slot will make the pirate pop? You won't know because it's different every time. Pop-up pirate is fun for the whole day,",,,,,,,pirate,swords,,,,,,fun,
